time_days,Sb130 top 14
0.0788911719460289,116097449788.74965
0.0790300038452707,115693176916.44652
0.07916908005950694,115288192608.76654
0.07930840101868102,114887874875.89897
0.07944796715349232,114487344356.37851
0.07958777889539882,114086108987.23552
0.07972783667661715,113684167528.08357
0.07986814093012509,113285933445.1996
0.08000869208966185,112888412319.70236
0.08014949058973052,112490191640.48433
0.08029053686559819,112091270176.4786
0.08043183135329854,111695285293.35318
0.08057337448963199,111300750959.66185
0.08071516671216823,110905522328.37624
0.08085720845924639,110509598177.67906
0.08099950016997755,110116021750.05937
0.08114204228424499,109724451775.63036
0.08128483524270663,109332192720.25697
0.08142787948679531,108939243371.3022
0.08157117545872127,108548228516.39075
0.08171472360147235,108159600637.09456
0.08185852435881656,107770288854.32376
0.08200257817530224,107380291964.55255
0.08214688549626065,106991985813.24963
0.08229144676780614,106606277932.12047
0.08243626243683874,106219891286.10043
0.0825813329510443,105832824680.70648
0.08272665875889712,105447368526.67319
0.08287224030966013,105064558712.66695
0.08301807805338746,104681075233.75949
0.08316417244092461,104296916904.44281
0.08331052392391113,103914446350.0451
0.08345713295478072,103534512836.8068
0.08360399998676389,103153910720.35272
0.08375112547388813,102772638824.08238
0.08389850987098053,102393283923.27663
0.08404615363366795,102016205107.91652
0.08419405721837972,101638462713.00955
0.08434222108234773,101260055570.79582
0.08449064568360912,100883940969.01326
0.08463933148100651,100509695410.8919
0.08478827893419053,100134791259.16162
0.08493748850362015,99759227354.83667
0.08508696065056523,99386472425.925
0.08523669583710675,99015038845.44794
0.08538669452613949,98642951619.85213
0.0855369571813722,98270209598.86028
0.08568748426733028,97900928579.13846
0.085838276249356,97532285856.55853
0.08598933359361109,97162994400.18394
0.08614065676707709,96793053068.38004
0.0862922462375579,96427355187.86162
0.08644410247368006,96061482362.09161
0.0865962259448952,95694965676.96417
0.08674861712148117,95328279443.866
0.08690127647454289,94965793610.26183
0.08705420447601499,94602669877.69484
0.08720740159866193,94238907123.59756
0.0873608683160808,93876043106.39775
0.08751460510270147,93516280925.64377
0.08766861243378936,93155885638.98418
0.08782289078544561,92794856132.28624
0.08797744063460984,92435909038.03944
0.08813226245906035,92078850053.98744
0.08828735673741685,91721162721.08852
0.0884427239491407,91362845933.58133
0.08859836457453764,91007905962.66104
0.08875427909475798,90653529872.88902
0.0889104679917995,90298530155.60063
0.08906693174850741,89943154168.26996
0.08922367084857737,89592058677.29088
0.08938068577655556,89240345331.96138
0.0895379770178415,88888013044.98671
0.08969554505868828,88536845551.44543
0.08985339038620534,88188388164.01462
0.09001151348835867,87839317564.74171
0.09016991485397365,87489632674.50192
0.09032859497273522,87142750796.50333
0.09048755433519073,86796911699.4296
0.09064679343275009,86450463998.15509
0.09080631275768872,86103520933.55576
0.09096611280314762,85760883432.66183
0.09112619406313631,85417642961.70354
0.09128655703253298,85073798459.58083
0.09144720220708738,84731316418.41582
0.09160813008342102,84391253496.52226
0.09176934115902997,84050592135.2828
0.09193083593228521,83709331281.57059
0.09209261490243534,83371375312.98201
0.0922546785696069,83033867634.46733
0.09241702743480719,82695766013.29865
0.09257966199992457,82358084009.30997
0.09274258276773122,82023700828.1515
0.09290579024188345,81688729202.79906
0.09306928492692455,81353168097.71371
0.09323306732828508,81020163579.25194
0.0933971379522857,80688292983.74342
0.09356149730613737,80355838365.66417
0.09372614589794437,80023323846.89932
0.09389108423670443,79694525583.52823
0.09405631283231168,79365148704.24525
0.09422183219555692,79035192190.80846
0.09438764283813046,78707491425.39606
0.09455374527262243,78381163802.96558
0.09472014001252571,78054261912.43248
0.09488682757223606,77727251228.38852
0.09505380846705525,77403944644.67996
0.09522108321319113,77080069109.26337
0.09538865232776066,76755623620.90253
0.09555651632879014,76433548603.43227
0.09572467573521816,76112671417.19225
0.09589313106689587,75791229554.47368
0.09606188284458993,75470029540.20229
0.09623093158998272,75152122956.64134
0.09640027782567541,74833656924.23822
0.09656992207518811,74514630458.4811
0.09673986486296293,74198474426.28215
0.09691010671436419,73882956686.37733
0.09708064815568122,73566883701.49403
0.09725148971412959,73252439716.09615
0.09742263191785208,72941857286.26059
0.09759407529592158,72630728296.55573
0.09776582037834139,72319051785.15152
0.09793786769604815,72006826788.52417
0.09811021778091218,71696840267.03004
0.09828287116574043,71390038986.34576
0.09845582838427684,71082697799.82138
0.09862908997120529,70774815757.33542
0.09880265646214988,70466391907.09554
0.09897652839367801,70161070417.70384
0.09915070630330067,69858004257.73096
0.09932519072947538,69554404764.94563
0.09949998221160657,69250271000.79475
0.0996750812900486,68945602025.07225
0.09985048850610606,68645139433.523735
0.1000262044020368,68345762925.93333
0.10020222952105227,68045859578.54461
0.1003785644073205,67745428464.22963
0.10055520960596646,67444468654.22993
0.10073216566307515,67149045642.41851
0.10090943312569184,66853313872.189
0.10108701254182521,66557061676.13312
0.10126490446044759,66260288138.41133
0.10144310943149809,65964395124.52306
0.10162162800588292,65672776910.04604
0.10180046073547847,65380645508.73717
0.10197960817313156,65088000017.495964
0.10215907087266272,64794839531.63143
0.10233884938886625,64504379021.48915
0.10251894427751355,64216311099.66336
0.1026993560953534,63927736238.7759
0.10288008540011491,63638653546.719986
0.10306113275050807,63349062129.819954
0.10324249870622684,63064359639.60908
0.10342418382794927,62780010223.56153
0.10360618867734091,62495160412.24126
0.10378851381705494,62209809325.05827
0.1039711598107355,61924416848.66474
0.10415412722301777,61644231010.46165
0.10433741661953146,61363552104.008675
0.10452102856690075,61082379261.60985
0.10470496363274787,60800711614.04096
0.10488922238569309,60520531486.44682
0.10507380539535816,60243962780.08646
0.10525871323236638,59966907370.86943
0.10544394646834611,59689364402.30029
0.10562950567593085,59411333016.37755
0.10581539142876253,59136512135.53907
0.10600160430149186,58863513844.851425
0.10618814486978158,58590035134.48851
0.10637501371030668,58316075159.01309
0.10656221140075774,58041633071.49911
0.1067497385198412,57772307952.67174
0.10693759564728271,57502833966.730644
0.10712578336382729,57232885763.15129
0.10731430225124271,56962462507.4096
0.10750315289231983,56693386998.45459
0.10769233587087582,56427859076.97034
0.10788185177175447,56161863882.09276
0.10807170118082954,55895400591.51826
0.10826188468500508,55628468381.49716
0.10845240287221872,55365197155.40416
