time_days,Bi212 top 6
3.5496839046648695e-05,2.7262154251016164
3.555930603072767e-05,2.7591045192573986
3.562188294358354e-05,2.7921710670755546
3.568456997866786e-05,2.8254666897897827
3.5747367329772646e-05,2.859401910869913
3.5810275191030924e-05,2.893396850814363
3.5873293756917365e-05,2.927933176800886
3.593642322224887e-05,2.962813841250371
3.599966378218519e-05,2.9977905857147777
3.6063015632229496e-05,3.0335726576351587
3.612647896822901e-05,3.069417698489595
3.6190053986375616e-05,3.105699686940118
3.625374088320643e-05,3.142463593664752
3.631753985560446e-05,3.179292197146554
3.638145110079917e-05,3.2169546398073234
3.644547481636711e-05,3.2547571167739027
3.650961120023252e-05,3.29283975709991
