time_days,Th234 top 18
79.7596305934348,74016.60590205896
79.89998960838818,73721.10355940065
80.0405956236465,73428.47690253957
80.18144907387489,73135.33528856262
80.32255039450298,72841.67781126173
80.46390002172711,72547.50356283311
80.60549839251101,72253.46111902427
80.74734594458744,71964.54309509274
80.88944311645956,71675.11664040541
81.03179034740182,71385.1808602391
81.1743880774621,71094.73485829511
81.3172367474625,70803.77773669794
81.4603367990009,70517.21611291487
81.60368867445227,70231.45773307788
81.74729281697023,69945.19648274826
81.89114967048779,69658.43147698752
82.03525967971964,69371.16182929912
82.17962329016291,69086.61078175304
82.3242409480987,68804.47398905628
82.46911310059349,68521.84069904617
82.6142401955006,68238.71003799875
82.75962268146105,67955.08113065346
82.90526100790585,67672.8274890003
83.0511556250567,67394.26638490008
83.1973069839276,67115.21507589443
83.34371553632641,66835.67269933259
83.49038173485562,66555.63839104667
83.63730603291462,66275.95277236073
83.78448888470055,66000.92204001364
83.93193074520983,65725.40731542153
84.07963207023955,65449.40774686685
84.22759331638912,65172.92248113298
84.37581494106092,64896.05988966555
84.52429740246276,64624.514786555104
84.67304115960864,64352.49182512333
84.82204667232034,64079.99016444696
84.97131440122875,63807.00896212301
85.12084480777558,63533.547374265734
85.27063835421413,63265.10572102353
85.42069550361155,62996.530269545794
85.57101671984981,62727.48218566581
85.72160246762715,62457.96063765684
85.87245321245975,62187.96479232817
86.02356942068253,61922.743738060475
86.17495155945156,61657.572104177874
86.32660009674474,61391.933827846624
86.4785155013636,61125.82808788092
86.63069824293463,60859.25406164987
86.7831487919109,60597.46604696773
86.9358676195729,60335.65509206057
87.08885519803098,60073.38340874407
87.24211200022609,59810.6501862398
87.39563849993147,59547.45461234257
87.54943517175407,59289.298671445446
87.70350249113626,59030.805803615534
87.85784093435656,58771.85804646368
88.01245097853212,58512.45459948667
88.16733310161952,58253.025430623675
88.3224877824165,57998.2569330344
88.47791550056331,57743.040100177044
88.6336167365445,57487.37414308213
88.78959197168957,57231.25827139247
88.94584168817566,56975.885582525596
89.10236636902816,56724.345918733205
89.25916649812255,56472.36360169418
89.41624256018595,56219.93785243812
89.57359504079803,55967.06789062451
89.73122442639341,55715.91268418692
89.88913120426264,55467.56093324643
90.04731586255372,55218.772139069115
90.20577889027369,54969.54553255714
90.36452077729035,54719.88034325896
90.52354201433302,54473.0921767346
90.68284309299509,54227.88793631665
90.84242450573488,53982.25219157261
91.00228674587733,53736.18418315191
91.16243030761552,53489.6831503677
91.32285568601239,53247.40058574961
91.48356337700153,53005.303965567706
91.6445538773898,52762.781309772574
91.80582768485813,52519.83186863731
91.96738529796332,52277.414417360065
92.12922721613958,52038.80592996488
92.29135393969962,51799.77754528603
92.45376596983704,51560.3285243985
92.61646380862723,51320.458127077094
92.77944795902917,51082.85257540045
92.94271892488692,50847.268116312145
93.10627721093134,50611.26908154953
93.27012332278103,50374.85474155314
93.43425776694485,50138.0243654789
93.59868105082285,49905.33807782045
93.76339368270796,49672.73932171637
93.9283961717876,49439.73124410412
94.09368902814545,49206.31312466968
94.25927276276228,48974.062723477946
94.42514788751858,48744.815254751455
94.59131491519547,48515.164362029005
94.75777435947649,48285.10933537506
94.92452673494923,48054.64946360455
95.09157255710639,47827.56351607285
95.25891234234834,47601.22143785535
95.42654660798401,47374.481048475864
95.59447587223265,47147.34164699632
95.76270065422548,46921.04175121778
95.93122147400749,46697.96081404155
96.10003885253825,46474.48730457852
96.26915331169465,46250.62053198947
96.4385653742718,46026.35980421974
96.60827556398479,45805.43220526358
96.77828440547033,45585.17850644809
96.94859242428858,45364.5372106491
97.11920014692399,45143.50763578351
97.29010810078812,44923.6770586422
97.46131681422037,44706.59677938008
97.63282681648997,44489.13448763951
97.8046386377977,44271.28951116421
97.97675280927685,44053.06117651552
98.1491698629959,43838.77631986253
98.3218903319595,43624.4472290282
98.49491475011024,43409.74096718843
98.66824365233036,43194.65687060701
98.84187757444353,42981.743732864874
99.0158170532158,42770.50269971747
99.19006262635835,42558.889929851764
99.36461483252849,42346.9047690947
99.53947421133137,42135.5183580853
99.71464130332176,41927.320889829956
99.89011665000585,41718.75704084594
100.0659007938422,41509.82616638598
100.2419942782446,41300.52762056748
100.41839764758285,41094.9148303719
100.59511144718476,40889.355973358965
100.772136223338,40683.43537897979
100.94947252329094,40477.15241065841
101.12712089525566,40273.29089848798
101.30508188840872,40070.693737463436
101.4833560528931,39867.74005099186
101.66194393981993,39664.4292116686
101.84084610127037,39462.44911260848
102.0200630902965,39262.770975399275
102.19959546092427,39062.741449568544
102.3794437681544,38862.35991675132
102.55960856796423,38662.38341778791
102.74009041730955,38465.58224704249
102.92088987412644,38268.43475048941
103.10200749733227,38070.940318673514
103.2834438468285,37873.09834106659
103.46519948350175,37679.11630584944
103.64727496922563,37484.80931424064
103.82967086686261,37290.16038601879
104.01238774026554,37095.168919452386
104.19542615427963,36903.356365558655
104.37878667474442,36711.84895284346
104.56246986849408,36520.00453014497
104.74647630336142,36327.822504400996
104.9308065481781,36138.280357919
105.11546117277685,35949.53218771138
105.30044074799311,35760.451863166425
105.48574584566695,35571.03879976719
105.67137703864465,35383.86118171215
105.85733490078063,35197.83249879217
106.04362000693914,35011.47644722103
106.23023293299612,34824.79245090345
106.41717425584083,34640.06694332173
106.60444455337819,34456.71856526366
106.7920444045289,34273.04753528862
106.97997438923359,34089.05328560143
107.1682350884531,33906.86118910735
107.35682708417062,33726.154498027616
107.54575095939344,33545.12980380561
107.73500729815491,33363.786546827316
107.92459668551611,33184.20312982153
108.11451970756764,33006.100064242666
108.30477695143155,32827.68357731695
108.49536900526309,32648.95311749328
108.6862964582529,32472.047857304722
108.8775599006273,32296.510904140163
109.06915992365245,32120.665045409594
109.2610971196346,31944.509737508663
109.45337208192232,31770.346553697233
109.6459854049084,31597.33874034963
109.83893768403158,31424.02647215339
110.03222951577841,31250.409213336417
110.22586149768516,31079.046693380482
110.41983422833965,30908.53157995444
110.61414830738306,30737.71639827109
110.80880433551177,30566.60062027779
111.00380291447966,30398.092237875968
111.19914464709842,30230.033909502858
111.39483013724173,30061.679836261686
111.59085998984547,29893.029497708023
111.78723481091022,29727.4238239083
111.98395520750282,29561.786883181474
112.18102178775854,29395.858458684375
112.37843516088279,29229.94260591703
112.57619593715299,29066.97894483568
112.7743047279206,28903.728504355135
112.97276214561288,28740.19077980811
113.17156880373518,28577.3078031554
113.37072531687139,28416.692125655452
113.57023230068803,28255.79380067941
113.7700903719347,28094.612330831307
113.97030014844633,27934.796615485324
114.17086224914509,27776.495091773926
114.37177729404232,27617.914992976763
114.57304590424046,27459.05582886431
114.77466870193494,27302.33764402434
114.97664631041611,27146.316931728925
115.17897935407117,26990.021658062968
115.38166845838651,26833.45133985987
115.58471424994798,26679.85701690763
115.7881173564454,26526.084254053287
115.99187840667264,26372.04088571395
116.19599803053023,26218.569504203617
116.40047685902712,26067.278540368006
116.60531552428267,25915.721338455598
116.8105146595287,25763.897429947247
117.01607489911132,25613.635005006814
117.22199687849299,25464.523844304655
117.42828123425437,25315.150281489077
117.63492860409643,25165.513854791352
117.84193962684274,25018.475286732675
118.04931494243979,24871.51252251873
118.25705519196153,24724.29113688607
118.46516101760957,24577.5984640743
118.67363306271574,24433.007589636196
118.88247197174387,24288.16226777206
119.09167839029202,24143.062050711604
119.3012529650943,23999.654995814642
119.5111963440229,23857.147389492606
119.7215091760902,23714.38900182794
119.93219211145063,23571.470496753864
120.14324580140317,23431.262876664267
120.35467089839167,23290.80852269094
120.56646805600948,23150.107000637414
120.77863792899961,23010.521497527418
120.99118117325732,22872.33399154069
121.20409844583206,22733.90330661651
121.4173904049296,22595.229014814624
121.63105770991393,22458.97532613504
121.84510102130943,22322.77882840761
122.05952100080283,22186.342655469558
122.27431831124528,22050.739134497613
122.48949361665483,21916.74076554238
122.70504758221679,21782.506589589157
122.92098087428828,21648.036191670395
123.1372941603987,21515.793144014253
123.35398810925206,21383.725426151395
123.57106339072922,21251.425298802067
123.78852067588986,21119.936957315826
124.00636063697455,20990.000732225282
124.22458394740687,20859.835848596256
124.44319128179548,20729.441904041163
124.66218331593618,20601.331169446676
124.88156072681403,20473.26706800087
125.10132419260587,20344.97760253299
125.32147439268066,20217.71262591315
125.54201200760424,20091.71540130173
125.7629377191396,19965.49644990697
125.98425221024952,19839.18087523016
126.20595616509861,19716.60129279929
126.4280502690555,19593.805997866802
126.65053520869489,19470.794610827197
126.87341167179969,19347.566751406957
127.09668034736318,19224.12203866337
127.32034192559105,19103.77125014516
127.54439709790411,18983.885914589762
127.76884655693854,18863.789607801664
127.99369099655078,18743.481958518674
128.21893111181785,18622.96259482554
128.44456759903989,18504.867288249992
128.6706011557424,18387.822952885985
128.8970324806784,18270.572645810516
129.12386227383055,18153.11600455971
129.3510912364133,18035.45266603181
129.5787200708751,17919.749219249294
129.80674948090055,17805.47855906106
130.0351801714125,17691.00680820599
130.2640128485749,17576.33361280951
130.49324821979295,17461.458618374978
130.72288699371808,17348.26855641993
130.95292988024832,17236.705841835992
131.183377590531,17124.946801960577
131.4142308369649,17012.991091305317
131.64549033320245,16900.838363773855
131.87715679415197,16790.269262883994
132.10923093597984,16681.350321969418
132.34171347611272,16572.23970821055
132.5746051332398,16462.93708430626
132.80790662731548,16353.44211236166
133.04161867955963,16245.588459056009
133.27574201246287,16139.250640599194
133.51027734978663,16032.725691493206
133.74522541656603,15926.013282430187
133.98058693911213,15819.113083522749
134.21636264501413,15714.05709074679
134.45255326314157,15610.239228222756
134.68915952364665,15506.238669605347
134.92618215796654,15402.055093390527
135.1636218988255,15297.688177508464
135.40147948023775,15195.50055976952
135.6397556375077,15094.142936155524
135.87845110723526,14992.606945915419
136.11756662731605,14890.892275164051
136.35710293694427,14788.9986094639
136.59706077661485,14689.739318801603
136.83744088812594,14590.783632228127
137.07824401458097,14491.653805897635
137.31947090039117,14392.349533363304
137.56112229127766,14293.030387582916
137.80319893427395,14196.589432192688
138.04570157772815,14099.97876240686
138.28863097130576,14003.198079566057
138.53198786599003,13906.247084485922
138.7757730140873,13810.018636135923
139.01998716922725,13715.863104325243
139.26463108636582,13621.54187995057
139.50970552178748,13527.054671430224
139.75521123310762,13432.401186669447
140.00114897927486,13339.293444468029
140.24751952057335,13247.369177078745
140.49432361862517,13155.283143649112
140.7415620363928,13063.035059507276
140.98923553818173,12970.624639480222
141.237344889641,12880.65947654389
141.48589085776854,12790.913597862747
141.7348742109115,12701.009786615547
141.98429571876915,12610.947764876486
142.23415615239526,12521.384165884196
142.48445628420052,12433.918972300628
142.7351968879548,12346.299859643934
142.98637873878974,12258.526557051151
143.23800261320093,12170.598793182668
143.49006928905052,12084.264634712372
143.74257954556995,11998.872160286133
143.99553416336045,11913.32941430659
144.24893392439841,11827.636132329413
144.5027796120359,11741.90893987078
144.75707201100346,11658.686518785677
145.01181190741255,11575.317644952998
145.26700008875804,11491.80206064885
145.52263734392068,11408.139507695783
145.7787244631693,11325.696243286247
146.03526223816365,11244.445997639737
146.29225146195645,11163.052769830967
146.54969292899605,11081.516308243477
146.80758743512945,10999.848621358886
147.06593577760248,10920.66316383571
147.32473875506562,10841.338357713075
147.58399716757418,10761.873957768776
147.84371181659145,10682.269718349087
148.10388350499113,10603.912253728387
148.3645130370597,10526.60330511214
148.6256012184991,10449.158310130153
148.8871488564291,10371.577029371412
149.1491567593898,10294.131246759534
149.41162573734414,10218.786927267305
149.67455660168093,10143.310018714676
149.9379501652154,10067.700287775013
