Epsilon_alpha,Time [Days]
12312004.917965362,3.631519561770017e-05
12478864.438547209,3.637910298870896e-05
12647337.40048272,3.644312282371524e-05
12818274.723187644,3.650725532063283e-05
12990076.78664493,3.657150067772381e-05
13165132.436787229,3.6635859093599174e-05
13340496.149218943,3.670033076721944e-05
13519580.928363902,3.676491589789521e-05
13699108.051615564,3.68296146852879e-05
13881771.412319036,3.6894427329410237e-05
14065504.691579131,3.695935403062696e-05
14251851.408876464,3.702439498965539e-05
14439838.008916983,3.708955040756607e-05
14629966.203414204,3.715482048578341e-05
14822257.654474046,3.7220205426086257e-05
15016259.609912148,3.728570543060857e-05
15212911.913215317,3.7351320701840005e-05
15410874.463989278,3.741705144262657e-05
15611948.275026148,3.748289785617124e-05
15813952.95829885,3.754886014603458e-05
16019513.82386727,3.761493851613538e-05
16225636.848965283,3.7681133170751296e-05
16435755.492986338,3.7747444314519465e-05
16646243.90302045,3.781387215243715e-05
16860820.19451089,3.7880416889862336e-05
17075950.775380224,3.7947078732514446e-05
17294854.815568484,3.8013857886474895e-05
17514709.854568664,3.808075455818777e-05
17738006.06292102,3.814776895446045e-05
17962674.217292152,3.821490128246426e-05
