time_days,Pa234 top 6
0.04285927560011584,1246294.77250814
0.04293469922321115,1248407.9709218391
0.04301025557656943,1250524.8881356916
0.04308594489376889,1252645.5306940288
0.04316176740879909,1254769.371755715
0.043237723356061054,1256895.9796270311
0.04331381297036836,1259026.329896422
0.04339003648694802,1261160.4291497518
0.043466394141440774,1263297.276978529
0.043542886169902026,1265437.3793331082
0.04361951280880284,1267581.2478333162
0.04369627429503019,1269728.8884953477
0.04377317086588789,1271878.787506999
0.04385020275909763,1274032.4699044067
0.04392737021279921,1276189.94234556
0.04400467346555148,1278350.6634660466
0.04408211275633335,1280514.204609498
0.04415968832454406,1282681.5531460857
0.044237400410004145,1284852.715776047
0.044315249252956386,1287026.5617432916
0.04439323509406613,1289203.8315023498
0.04447135817442226,1291384.9328141185
0.04454961873553811,1293569.6516514884
0.04462801701935184,1295756.887959666
0.04470655326822735,1297947.9733596568
0.04478522772495532,1300142.9146250852
0.0448640406327534,1302340.6621208542
0.0449429922352673,1304541.4752260458
0.045022082776571715,1306746.1613154614
0.04510131250117062,1308954.7272047647
0.045180681653998286,1311166.562158715
0.04526019048042024,1313381.0364470556
0.045339839226233566,1315599.4077605263
0.04541962813766791,1317821.682957098
0.04549955746138647,1320047.603722016
0.045579627444486265,1322275.5593191208
0.04565983833449918,1324507.4356657197
0.04574019037939293,1326743.2396615404
0.04582068382757135,1328982.9782184458
0.04590131892787546,1331225.8739506805
0.04598209592958437,1333471.3375567757
0.04606301508241569,1335720.7527229087
0.046144076636526435,1337974.1264030202
0.04622528084251411,1340231.465563296
0.046306627951416976,1342491.3797746263
0.046388118214715064,1344754.4889840772
0.04646975188433121,1347021.5808062484
0.04655152921263134,1349292.6622497253
0.04663345045242547,1351567.7403354298
0.0467155158569688,1353844.7170557163
0.04679772567996192,1356125.6105446303
0.0468800801755519,1358410.5179429809
0.046962579598333304,1360699.446314437
0.047045224203348474,1362991.7073268848
0.04712801424608859,1365286.4865160992
0.047210949982494685,1367585.3040507666
0.047294031668957945,1369888.1670375534
0.047377259562320743,1372195.082595631
0.04746063391987772,1374504.4814106885
0.04754415499937603,1376817.2937759317
0.047627823059016416,1379134.176221352
0.047711638357454254,1381455.135909469
0.04779560115379985,1383779.869721246
0.04787971170761948,1386106.7621272174
0.047963970278936494,1388437.749391384
0.04804837712823152,1390772.8387198616
0.04813293251644361,1393112.0373314484
0.048217636704971305,1395453.9859300465
0.04830248995567282,1397799.1638929616
0.04838749253086725,1400148.4688929338
0.048472644693335565,1402501.908192716
0.04855794670632089,1404859.2438373372
0.04864339883352964,1407218.6989020146
0.048729001339132536,1409582.3061285545
