#               time[s]          Temperature [GK]                tau_ga [s]                tau_ag [s]                tau_ng [s]                tau_gn [s]                tau_pg [s]                tau_gp [s]                tau_np [s]                tau_pn [s]                tau_an [s]                tau_na [s]                tau_ap [s]                tau_pa [s]              tau_beta [s]             tau_alpha [s]             tau_nfiss [s]             tau_sfiss [s]             tau_bfiss [s]
 3.5481738312102341E-04    3.6081081083920266E+00    1.0391382664202968E+17    2.5914695716784056E+16    4.8573564856242922E-12    4.8573565313224337E-12    9.8333689127009088E+16    1.0391463208586445E+17    9.0905279950350000E+16    6.4198926061187939E+12    4.5434818970108635E+10    1.3861535956406116E+16    1.0391462980425931E+17    1.0391457840337418E+17    8.3319263904160052E-04    1.0391463316745992E+17    1.0391463316745992E+17    1.0391463316745992E+17    1.0391463316745992E+17
 3.6990785686589480E-04    3.5010649666695683E+00    1.0391451873398917E+17    2.8024646844861536E+16    5.3456482270125197E-12    5.3456482843969799E-12    1.0188869314234123E+17    1.0391463312776517E+17    1.0257358212084379E+17    1.8213437292563516E+13    5.3484589824207451E+10    5.7256445979872328E+16    1.0391463218104194E+17    1.0391458971513787E+17    8.3756891972470060E-04    1.0391463315767693E+17    1.0391463315767693E+17    1.0391463315767693E+17    1.0391463315767693E+17
 3.8318503782198114E-04    3.4034144265021506E+00    1.0391461968060368E+17    2.9874578572538356E+16    5.9152233653225816E-12    5.9152234300770111E-12    1.0316450650654494E+17    1.0391463316275115E+17    1.0378455782632885E+17    4.9509674552678469E+13    6.2038285356266846E+10    9.3464690854259408E+16    1.0391463286600894E+17    1.0391459706547651E+17    8.4161641080396290E-04    1.0391463316455224E+17    1.0391463316455224E+17    1.0391463316455224E+17    1.0391463316455224E+17
 3.9412063751485474E-04    3.3157838020944927E+00    1.0391463199318720E+17    3.1475557697493808E+16    6.5588192062859786E-12    6.5588192848671876E-12    1.0362201097500741E+17    1.0391463314628325E+17    1.0389965383170618E+17    1.2670874131303386E+14    7.0909891748479599E+10    1.0216978838835048E+17    1.0391463304813714E+17    1.0391460207905187E+17    8.4515611565048009E-04    1.0391463314628325E+17    1.0391463314628325E+17    1.0391463314628325E+17    1.0391463314628325E+17
 4.0545029297244900E-04    3.2351179307769220E+00    1.0391463312974474E+17    3.2962547740661244E+16    7.2475666896484907E-12    7.2475667932480011E-12    1.0379712639679122E+17    1.0391463313109966E+17    1.0391273925637016E+17    3.1397681158234025E+14    8.0490988114767639E+10    1.0362657380662824E+17    1.0391463309744917E+17    1.0391460564314587E+17    8.4875048399911228E-04    1.0391463313109966E+17    1.0391463313109966E+17    1.0391463313109966E+17    1.0391463313109966E+17
 4.1957366952287693E-04    3.1560119621831437E+00    1.0391463315854947E+17    3.4570022475977992E+16    7.9972941189085589E-12    7.9972942517726208E-12    1.0386884710073664E+17    1.0391463315854995E+17    1.0391445039031150E+17    7.9897346350997838E+14    9.2019990943171356E+10    1.0386997062926026E+17    1.0391463314732064E+17    1.0391460840964322E+17    8.5300540249716580E-04    1.0391463315854995E+17    1.0391463315854995E+17    1.0391463315854995E+17    1.0391463315854995E+17
 4.2974227301052477E-04    3.1003183418138547E+00    1.0391463314850000E+17    3.5916615819870600E+16    8.6108746663212048E-12    8.6108748176633636E-12    1.0389167367067654E+17    1.0391463314850008E+17    1.0391459392941702E+17    1.5766419741341540E+15    1.0219741526349658E+11    1.0390335790912922E+17    1.0391463314345256E+17    1.0391461008561918E+17    8.5607699646083647E-04    1.0391463314850008E+17    1.0391463314850008E+17    1.0391463314850008E+17    1.0391463314850008E+17
 4.4149131635940180E-04    3.0312204734473900E+00    1.0391463315202586E+17    3.7798353109641096E+16    9.5120816293200123E-12    9.5120818136958340E-12    1.0390517559703877E+17    1.0391463315202587E+17    1.0391463033694514E+17    3.7323024155281225E+15    1.1757043850076869E+11    1.0391277402534930E+17    1.0391463315021093E+17    1.0391461191807989E+17    8.5969882694538228E-04    1.0391463315202587E+17    1.0391463315202587E+17    1.0391463315202587E+17    1.0391463315202587E+17
 4.5329067414761655E-04    2.9620660450133607E+00    1.0391463313748698E+17    4.0208615050948912E+16    1.0574756673037012E-11    1.0574756903897426E-11    1.0391088601573459E+17    1.0391463313748698E+17    1.0391463272523846E+17    8.8989409787872760E+15    1.3836544961723413E+11    1.0391434877074550E+17    1.0391463313685850E+17    1.0391461360499485E+17    8.6333538073787690E-04    1.0391463313748698E+17    1.0391463313748698E+17    1.0391463313748698E+17    1.0391463313748698E+17
 4.6219450216526361E-04    2.9107643364500904E+00    1.0391463312435131E+17    4.2600520233929912E+16    1.1482846493851867E-11    1.1482846767502753E-11    1.0391279705714642E+17    1.0391463312435131E+17    1.0391463306309426E+17    1.6633889303664798E+16    1.5998672033073752E+11    1.0391456660222138E+17    1.0391463312407222E+17    1.0391461496176578E+17    8.6606718532370027E-04    1.0391463312435131E+17    1.0391463312435131E+17    1.0391463312435131E+17    1.0391463312435131E+17
